Android KEY,Ios Key,Android Script Related,iOS script Related,English,French,GERMAN,Italian,Turkish,Spanish
,,,,EN,FR,DE,IT,TR,ES
ac,homeChargePointTableViewCellLabelAC,,,AC,AC,AC,CA,AC,CA
accept,startChargingButtonAccept,,,Accept,Accepter,Ich stimme zu,Accetto,Kabul Ediyorum,Acepto
i_want_to_be_informed_about_the_campaigns,myDetailsLabelCampaigns,,,I want to be informed about the campaigns,Je veux être informé des campagnes,"Wenn Sie zustimmen, können Sie kommerzielle Nachrichten erhalten und Ihre Informationen können an Drittdienstleister weitergegeben werden.","Se consentite, saremo in grado di inviarvi messaggi commerciali e le vostre informazioni potranno essere condivise con terze parti da cui viene ricevuto il servizio.","İzin vermeniz halinde, size ticari ileti gönderebilecek ve bilgileriniz hizmet alınan 3. kişilerle paylaşılabilecektir.","Si permite, se puede enviar mensajes comerciales a usted y sus datos se pueden compartir con terceras que prestan servicios."
i_accept_the_online_sales_contract_agreement,,,,I accept the online selling contract agreement,J'accepte le contrat de vente en ligne,Ich akzeptiere den Kaufvertrag.,Accetto il contratto di vendita,Satış sözleşmesini kabul ediyorum.,Acepto el contrato de venta.
active,,,,Active,Actif,Aktiv,Attivo,Aktif,Activo
details,,,,Details,Des détails,Details,Details,Detaylar,Details
add_payment_method,,,,Add Payment Method,Ajouter une nouvelle carte,Neue Karte hinzufügen,Aggiungere nuova carta,Yeni Kart Ekle,Añadir Tarjeta Nueva
add_new_vehicle,myVehiclesButtonAddVehicle,,,Add New Vehicle,Ajouter un nouveau véhicule,Neues Fahrzeug hinzufügen,Aggiungere nuovo veicolo,Yeni Araç Ekle,Añadir Vehículo Nuevo
address_detail,,,,Address Details,Détails de l'adresse,Adressen Details,Dettagli indirizzo,Adres Detayları,Detalles de Dirección
address,contactUsLabelAddressTitle,,,Address,Adresse,Adresse  ,Indirizzo,Adres,Dirección
address_star,myDetailsLabelTitleAddress,,,Address *,Adresse *,Adresse *,Indirizzo *,Adres *,Dirección *
add_vehicle,addVehicleButtonAddVehicle,,,Add Vehicle,Ajouter un véhicule,Fahrzeug hinzufügen,Aggiungere veicolo,Araç Ekle,Añadir Vehículo
are_you_sure_you_want_delete_this_card,,,,Are you sure you want to delete this card?,Voulez-vous vraiment supprimer cette carte ?,Möchten Sie die ausgewählte Karte wirklich löschen?,Avete sicuro di voler eliminare questa carta?,Seçili kartı silmek istediğinizden emin misiniz?,¿Está seguro de que quiera borrar esta tarjeta?
are_you_sure_you_want_to_delete_this_vehicle,,,,Are you sure you want to delete this vehicle?,Êtes-vous sûr de vouloir supprimer ce véhicule ?,Möchten Sie dieses Fahrzeug wirklich löschen?,Avete sicuro di voler eliminare questo veicolo?,Bu aracı silmek istediğinize emin misiniz?,¿Está seguro de que quiera borrar este vehículo?
available,,,,Available,Disponible,Angemessen,Disponibile,Uygun,Disponible
back,,,,Back,Arrière,Zurück,Dietro,Geri,Atrás
,,,,Basic Package,Forfait Standard,Standardpaket,Pacchetto base,Standart Paket,Paquete básico
book,,,,Book,Faire une réservation,Reservieren,Prenota,Rezervasyon Yap,Reservar
booked,historyTableViewCellLabelBooked,,,Booked,Réservé,Reserviert,È stato prenotato,Rezerve edildi,Reservado
booking_cancelled_by_operator,,,,Booking cancelled by operator.,Réservation annulée par l'opérateur.,Die Reservierung wurde vom Betreiber storniert.,La prenotazione è stata cancellata dall'operatore,Rezervasyon operatör tarafından iptal edildi.,La reserva se canceló por el operador
bookings,,,,Bookings,Réservations,Meine Transaktionen,Le mie prenotazioni,İşlemlerim,Mis reservas
_0,,nt,,%s,%s,%s,%s,%s,%s
cancel,,,,Cancel,Annuler,Abbrechen,Eliminare,İptal,Cancelar
cancel_booking,,,,Cancel Booking,Annuler la réservation,Reservierung stornieren,Eliminare prenotazione,Rezervasyonu iptal et,Cancelar la reserva
cancelled,historyTableViewCellLabelCancelled,,,Cancelled,Annulé,Storniert,È stato eliminato,İptal edildi,Cancelado
card_details,,,,Card Details,Détails de la carte,Kartendetail,Dettagli carta,Kart detayı,Detalles de la Tarjeta
card_number,,,,Card Number,Numéro de carte,Kartennummer *,N.carta,Kart numarası *,Número de la Tarjeta
change_password,settingsLabelChangePassword,,,Change Password,Changer le mot de passe,Passwort ändern,Cambiare password,Şifreyi Değiştir,Cambiar la Contraseña
charging_completed,"notificationsLabelMessageChargeCompleted, chargeInfoCardsChargingCompletedTitle",,,Charging completed,Chargement terminé,Ladevorgang abgeschlossen,È stata completata ricarica,Şarj işlemi tamamlandı,Carga completada
charge_end_time,"startChargingLabelChargeEndTime, historyDetailsLabelChargeEndTime",,,Charge End Time,Heure de fin de charge,Ladeenddatum,Data di fine ricarica ,Şarj Bitiş Tarihi,Tiempo Final de la Carga
charging_started,notificationsLabelMessageChargeStarted,,,Charging Started,Charge commencée,Ladevorgang gestartet,È stata iniziata ricarica,Şarj işlemi başlatıldı,Carga Empezada
charge_start_time,"startChargingLabelChargeStartTime, historyDetailsLabelChargeStartTime",,,Charge Start Time,Heure de début de charge,Ladestartzeit,Ora di inizio ricarica,Şarj Başlangıç Zamanı,Tiempo Inicial de la Carga
charging,"historyTableViewCellLabelCharging, chargeInfoCardsChargingTitle",,,Charging,Mise en charge,am Laden,Sta caricando,Şarj oluyor,Cargando
charging_stops,chargeInfoCardsChargingStopsTitle,,,Charging stops...,Votre charge est arrêtée…,Ladevorgang wird gestoppt…,Sta scaricando…,Şarjınız durduruluyor…,La carga se termina...
city,myDetailsLabelTitleCity,,,City *,Ville *,Stadt *,Provincia,Şehir *,Ciudad *
closing_hours,chargePointDetailLabelClosingHours,,,Closing Hours,Heures de fermeture,Schließzeiten,Orari di chiusura,Bitiş Saati,Horarios de cierre
complaint,mailTypeComplaint,,,Complaint,Plainte,Beschwerde,Denuncia,Şikayet,Queja
completed,historyTableViewCellLabelCompleted,,,Completed,Complété,Abgeschlossen,È stato completato,Tamamlandı,Completado
are_you_sure_you_want_to_stop_charging,,,,Are you sure you want to stop charging?,Êtes-vous sûr de vouloir arrêter la charge ?,Möchten Sie den Ladevorgang wirklich beenden?,Avete sicuro di voler interrompere la ricarica?,Şarj işlemini sonlandırmak istediğinizden emin misiniz?,¿Está seguro de que quiere terminar la carga?
continue_label,,,,Continue,Continuer,Weiter,Continuare,Devam Et,Continuar
skip,,,,Skip,Continuer sans être membre,Weiter ohne Mitgliedschaft,Saltare,Üye olmadan devam et,Pasar sin adhesión
country,myDetailsLabelTitleCountry,,,Country *,Pays *,Land *,Paese *,Ülke *,País *
cp_detail,chargePointDetailTitle,,,CP Detail,Détail de la station de charge,Detail zur Ladestation,Dettaglio della stazione di ricarica (SR),Şarj İstasyonu Detayı,Detalle de Estación de Carga
cvv,,,,CVV,CVV,CVV *,CVV,CVV,CVV
date,,,,Date,Date,Datum,Data,Tarih,Fecha
dc,homeChargePointTableViewCellLabelDC,,,DC,DC,DC,DC,DC,DC
decline,startChargingButtonDecline,,,Decline,Déclin,Ablehnen,Declinare,Reddet,Rechazar
default_label,addVehicleLabelDefault,,,Default,Défaut,Standard,Default,Varsayılan,Predeterminado
duration,chargeInfoCardsLabelDuration,,,duration,Durée,vergangene Dauer,durata,geçen süre,Duración
email,"contactUsLabelEmailTitle, myDetailsLabelTitleEmail",,,Email,E-mail,Email,Email,E-posta,Correo electrónico
email_us,,,,Email Us,Envoyez-nous un email,Email,Mandaci una email,E-posta,Envíenos un correo electrónico
end_time,,,,End Time,Heure de fin,Endzeit,Fine della durata,Bitiş Saati,Tiempo Final
enter_your_subject,composeEmailTextFieldSubjectPlaceholder,,,Enter your Subject,Entrez votre sujet,Betreff eingeben,Inserire oggetto,Konu giriniz,Introduzca su Asunto
make_sure_the_socket_is_plugged_into_your_vehicle_to_start_charging_with_qr_code,,,,Make sure the socket is plugged into your vehicle to start charging with QR code.,Assurez-vous que la prise est branchée sur votre véhicule pour commencer à charger avec le code QR.,"Schließen Sie das Ladekabel unbedingt an Ihrem Fahrzeug und an der Station an, um die Ladeanfrage mit dem QR-Code zu starten.",Assicurarsi che la presa sia collegata al vostro veicolo per iniziare a caricare con il codice QR,Qr kod ile şarj istemini başlatabilmek için şarj kablosunu aracınıza ve istasyona taktığınızdan emin olun.,Asegúrese de que el enchufe está conectado a su vehículo antes de iniciar la carga con el código QR.
your_locations_settings_is_set_to_off_please_enable_location_to_use_this_app,,,,Your Locations Settings is set to Off.\n Please Enable Location to use this app,Veuillez activer le service de localisation et actualiser la page.,Bitte aktivieren Sie den Standortdienst und aktualisieren Sie die Seite.,Abilitare il servizio di localizzazione e aggiornare la pagina,Lütfen konum servisini etkinleştiriniz ve sayfayı yenileyiniz.,Por favor permita el servicio de ubicación y actualice la página.
communication_with_the_server_is_lost_due_to_a_technical_fault,,,,Communication with the server is lost due to a technical fault,La communication avec le serveur est perdue en raison d'un défaut technique; Veuillez réessayer plus tard.,"Der Vorgang konnte derzeit aufgrund eines technischen Fehlers nicht ausgeführt werden, bitte versuchen Sie es später erneut.","Al momento non è stato possibile eseguire l'operazione a causa di un guasto tecnico, riprovare più tardi.","Şu an yaşanan teknik bir arıza nedeniyle işlem gerçekleştirilemedi, lütfen daha sonra tekrar deneyiniz.","La comunicación con el servidor se ha perdido por una falta técnica, por favor inténtelo de nuevo más tarde."
card_expiry_month,,,,Card Expiry Month,Mois d'expiration de la carte,Monat*,Mese di scadenza della carta,Ay *,Mes de expiración de la tarjeta
failed,historyTableViewCellLabelFailed,,,Failed,Échoué,gescheitert,Fallito,Başarısız,Fracasado
faqLink,faqWebViewUrl,,,https://vestelstoragedev.blob.core.windows.net/staticpage/FAQ_EN_DriveGreenPro.html,https://vestelstoragedev.blob.core.windows.net/staticpage/FAQ_EN_DriveGreenPro.html,https://vestelstoragedev.blob.core.windows.net/staticpage/FAQ_EN_DriveGreenPro.html,https://vestelstoragedev.blob.core.windows.net/staticpage/FAQ_EN_DriveGreenPro.html,https://aluminaevcstorageprod.blob.core.windows.net/staticpage/FAQ_EN.html,https://vestelstoragedev.blob.core.windows.net/staticpage/FAQ_EN_DriveGreenPro.html
first_name,myDetailsLabelTitleFirstName,,,First Name *,Prénom *,Vorname*,Nome *,İsim *,Primer Nombre *
give_us_a_ring,,,,Give us a ring,Téléphone,Telefon,Telefono,Telefon,Llámenos
have_a_compliant,composeEmailTitle,,,Have a Complaint?,Vous avez une réclamation ?,Feedback geben,Avete alcuna denuncia? ,Görüş Bildiriniz,Tiene alguna queja?
history,"tabbarHistory, historyTitle",,,History,Histoire,Geschichte,Storia,History,Historia
home,tabbarHome,,,Home,Accueil,Startseite,Home,Ana Sayfa,Página principal
inactive,,,,Inactive,Inactif,Nicht aktiv,Inattivo,Aktif değil,Inactivo
invoice_amount,,,,Usage Amount,Quantité d'utilisation,Abrechnungsdaten,Dati fattura,Fatura Bilgileri,Cantidad de uso
s_km,,,,%s km,%s km,%s km,%s km,%s km,%s km
s_kWh,chargePointDetailPower,,,%s kW,%s kW,%s kW,%s kW,%s kW,%s kW
s_kW,"startChargingLabelChargePointKwh, chargeInfoCardsLabelKwh",,,%s kWh,%s kWh,%s kWh,%s kWh,%s kWh,%s kWh
max_charge_duration,startChargingLabelMaxChargeDuration,,,Max Charge Duration:,Durée de charge maximale :,Maximale Ladedauer:,Durata massima della ricarica:,Max Charge Duration:,Duración máxima de carga:
s_mins,startChargingLabelMaxChargeDurationDescription,,,%s Mins,%s minutes,%s Minuten,%s Minuti,%s dk,%s Minutos
one_time_fee,,,,One Time Fee:,Frais uniques :,Einmalige Gebühr,Una sola tassa,Tek Seferlik Ücret,Cuota única:
language,settingsLabelLanguage,,,Language,Langue,Sprache,Lingua,Dil,Idioma
last_name,myDetailsLabelTitleLastName,,,Last Name *,Nom de famille *,Nachname *,Cognome *,Soyad *,Apellido *
list,,,,List,Liste,Liste ,Elenco,Liste,Lista
load_more_Items,,,,Load More Items,Charger plus d'articles,mehr anzeigen,Caricare più articoli,Daha fazla göster,Muestra más
log_out,menuLabelLogOut,,,Logout,Se déconnecter,Ausloggen,Logout,Çıkış Yap,Cerrar la sesión
mandatory_details,,,,Mandatory Details,Détails obligatoires,Pflichtfelder,Dettagli obbligatori,Zorunlu Alanlar,Detalles obligatorios
map,,,,Map,Carte,Landkarte,Mappa,Harita,Mapa
message_text,"composeEmailTextViewMessageTitle, requestRFIDLabelTitleMessage",,,Message *,Message *,Nachricht *,Messaggio *,Mesaj *,Mensaje *
charging_not_started_your_booking_was_at_s,,,,Charging not started. Your booking was at %s,La charge n'a pas commencé. Votre demande de recharge était à %s,Der Ladevorgang hat noch nicht begonnen. Ihre Reservierungsstartzeit: %s,La ricarica non è ancora iniziata. Ora di inizio della vostra prenotazione: %s,Şarj işlemi henüz başlamadı. Rezervasyon başlangıç saatiniz: %s,La carga no se ha iniciado. Su pedido de carga estuvo en %s
my_details,"profileLabelMyDetails, myDetailsTitle",,,My Details,Mes Details,meine Konto-Informationen,Miei dati,Bilgilerim,Mis detalles
new_card_added_successfully,,,,New card added successfully,Nouvelle carte ajoutée avec succès,Neue Karte erfolgreich hinzugefügt,Nuova carta aggiunta con successo,Yeni kart başarıyla eklendi,La nueva tarjeta se ha introducido exitosamente
no_connector_available_for_this_cp,,,,No Connector available for this Charge Point,Aucun connecteur disponible pour cette borne de recharge,Dieser Verbinder ist besetzt. Bitte wählen Sie eine andere Station oder ein anderes Zeitfenster.,"Questa presa è piena, selezionare un'altra stazione o periodo di tempo","Bu soket dolu, lütfen başka bir istasyon veya zaman aralığı seçiniz.","Este conector no está disponible, por favor elija otra estación u otro horario."
not_available,,,,Not Available,Pas disponible,Nicht verfügbar,Non disponibile,,No está disponible
notification,,,,Notification,Notification,Benachrichtigungen,Notificazioni,Bildirim,Notificaciones
notifications,"settingsLabelNotifications, notificationsTitle",,,Notifications,Notifications,Benachrichtigungen,Notificazioni,Bildirimler,Notificaciones
ok,generalPopupButtonOk,,,Ok,D'accord,OK,OK,Tamam,Ok
opening_hours,chargePointDetailLabelOpeningHours,,,Opening Hours,Horaires d'ouvertures,Öffnungszeit,Ora di apertura,Açılış Saati,Horario de apertura
or,landingLabelOr,,,or,ou,oder,o,ya da,o
other,mailTypeOther,,,Other,Autre,Sonstiges,Altro,Diğer,Otro
password,,,,Password,Mot de passe,Passwort,Password,Şifre,Contraseña
payment_details,,,,Payment Details,Détails de paiement,Zahlungsdetails,Dati pagamenti,Ödeme Detayları,Detalles de pago
personal_detail,,,,Personal Detail,Détail personnel,Persönliche Informationen,Dettagli personali,Kişisel Bilgiler,Detalles personales
please_enter_your_message,,,,"The message of your email is blank, please enter","Le champ de message de votre email est vide, veuillez saisir",Bitte füllen Sie das Textfeld aus.,"Il messaggio della vostra email è vuoto, inserirlo",Lütfen metin alanını doldurunuz.,Por favor llene el texto
pleases_can_valid_qrcode,errorNotValidQR,,,Please scan a valid QR Code.,Veuillez scanner un code QR valide.,Bitte lesen Sie einen gültigen QR-Code.,Si prega di eseguire la scansione di un codice QR valido.,Lütfen geçerli bir QR kod okutunuz.,Por favor escanee un código de QR válido
please_send_us_any_complaints_and_suggestions_on,contactUsLabelEmailDescription,,,Please send us any complaints and suggestions on,Veuillez nous envoyer vos plaintes et suggestions,Sie können uns jederzeit Ihre Beschwerden und Anregungen zukommen lassen:,Vi preghiamo di inviarci eventuali denuncie e suggerimenti su ….,Şikayet ve önerilerinizi her zaman bize iletebilirsiniz:,Por favor envíenos sus quejas y sugerencias.
please_signIn_for_user_profile,,"
",,Please sign in to access your profile,Veuillez vous connecter pour accéder à votre profil,"Bitte loggen Sie sich ein, um auf Ihr Profil zuzugreifen.",Effettuare il login per accedere al vostro profilo,Profilinize erişmek için lütfen giriş yapınız,Por favor inicie su sesión para acceder a su perfil
please_sign_in_to_make_a_booking,,,,Please sign-in to make a booking,Veuillez vous connecter pour faire une réservation,"Melden Sie sich an, um eine Reservierung vorzunehmen",Accedere per fare una prenotazione,Rezervasyon yapabilmek için giriş yapınız,Por favor inicie su sesión para hacer una reserva
click_here_to_payment_method,,,,Click Here to Add Payment Method,Veuillez appuyer ici pour ajouter une nouvelle carte,"Klicken Sie hier, um eine neue Karte hinzuzufügen",Toccare qui per aggiungere una nuova carta,Yeni bir kart eklemek için buraya tıklayınız,Por favor haga click aquí para introducir una tarjeta nueva
click_here_to_add_vehicle,,,,Click Here to Add Vehicle,Veuillez appuyer ici pour ajouter un véhicule,"Klicken Sie hier, um ein Fahrzeug hinzuzufügen",Toccare qui per aggiungere il veicolo,Araç eklemek için buraya tıklayınız,Por favor haga click aquí para introducir un vehículo
power,chargeInfoCardsLabelPower,,,power,Energie,Energie,potenza,enerji,Energía
profile,"tabbarProfile, profileTitle",,,Profile,Profil,Profil,Profilo,Profil,Perfil
charge_with_qr,,,,Charge with QR,Chargez avec QR,Starten Sie den Ladevorgang mit QR,Carica con QR,QR ile Şarj Başlat,İniciar la carga con QR
recent,homeTabRecent,,,Recent,Récent,Favoriten,Recente,Sık Kullanılanlar,Reciente
sales_agreement_link,,,,https://vestelstoragedev.blob.core.windows.net/staticpage/SalesAgreement_EN.html,https://vestelstoragedev.blob.core.windows.net/staticpage/SalesAgreement_EN.html,https://vestelstoragedev.blob.core.windows.net/staticpage/SalesAgreement_DE.html,https://vestelstoragedev.blob.core.windows.net/staticpage/SalesAgreement_EN.html,https://vestelstoragedev.blob.core.windows.net/staticpage/SalesAgreement_TR.html,https://vestelstoragedev.blob.core.windows.net/staticpage/SalesAgreement_EN.html
save,myDetailsButtonSave,,,Save,sauvegarder,Speichern,Salvare,Kaydet,Guardar
select_a_city,,,,Select a city,sélectionner une ville,Wähle Sie eine Stadt ,Scegliere una provincia,Şehir seçiniz *,Elegir una ciudad
select_a_country,,,,Select a country,Choisissez un pays,Wählen Sie ein Land,Scegliere un paese,Ülke seçiniz *,Elegir un país
settings,"tabbarSettings, settingsTitle",,,Settings,Paramètres,Einstellungen,Impostazioni,Ayarlar,Configuraciones
sign_up,landingButtonSignUp,,,Sign Up,S'inscrire,Anmeldung,Sign Up,Üye Ol,Registrarse
there_is_no_time_slot_available_to_continue_with_charging,,,,There is no time slot available to continue with charging,La période pour laquelle vous souhaitez commencer la charge est pleine.,"Kein Zeitfenster verfügbar, um mit dem Laden fortzufahren",Non è disponibile alcun periodo di tempo a continuare con la ricarica,Şarjı başlatmak istediğiniz zaman aralığı dolu.,No hay un horario disponible para seguir con la carga.
your_charging_session_is_started_you_can_now_begin_charging,,,,"Your charging session is started, you can now begin charging.","Votre session de charge est lancée, vous pouvez maintenant commencer à charger.","Ihre Ladesitzung ist gestartet, Sie können jetzt mit dem Laden beginnen.","La vostra sessione di ricarica è iniziata, ora potete iniziare a caricare.",Şarj oturumunuz başlatıldı. Artık şarj etmeye başlayabilirsiniz.,"Su sesión de carga ha iniciado, ya puede empezar a cargar"
status,,,,Status,statut,Status,Stato,Durum,Estatus
stop_charging,chargeInfoCardsButtonStopCharging,,,Stop Charging,Arrêter de charger,Ladevorgang beenden,Interrompere la ricarica,Şarjı Bitir,Terminar la carga
suggestion,mailTypeSuggestion,,,Suggestion,Suggestion,Empfehlung,Suggerimento,Öneri,Sugerencia
_24_7_call_center,,,,24/7 Call Center:,Centre d'appels 24h/24 et 7j/7 :,24/7 Callcenter:,24/7 Call Center:,7/24 Arayabileceğiniz Çağrı Merkezi:,Centro de Atención 24/7
are_you_sure_you_want_to_cancel_the_booking,,,,Are you sure you want to cancel the booking?,Êtes-vous sûr de vouloir annuler la réservation ?,Möchten Sie die Reservierung wirklich stornieren?,Siete sicuro di eliminare la prenotazione?,Rezervasyonu iptal etmek istediğinize emin misiniz?,¿Está segura de que quiere cancelar su reserva?
suspended,,,,Suspended,Suspendu,gesperrt,Sospeso,Hesap donduruldu,Suspendido
user_suspended_due_to_failure_in_payment,,,,User suspended due to failure in payment.,Utilisateur suspendu pour défaut de paiement.,Zahlung ist nicht erfolgt. Konto gesperrt. Bitte kontrollieren Sie Ihr Kartenlimit oder fügen Sie eine andere Karte hinzu.,"Non è stato possibile effettuare il pagamento.
Il vostro conto è sospeso. Controllare il limite della vostra carta o usare un'altra carta",Ödeme gerçekleştirilemedi. Hesabınız askıya alınmıştır. Lütfen kartınızın limitini kontrol ediniz veya farklı bir kart ekleyiniz.,El usuario se ha suspendido por fallo de pago.
tc_link,,,,https://vestelstoragedev.blob.core.windows.net/staticpage/MembershipAggrement_EN_DriveGreenPro.html,https://vestelstoragedev.blob.core.windows.net/staticpage/MembershipAggrement_EN_DriveGreenPro.html,https://vestelstoragedev.blob.core.windows.net/staticpage/MembershipAggrement_EN_DriveGreenPro.html,https://vestelstoragedev.blob.core.windows.net/staticpage/MembershipAggrement_EN_DriveGreenPro.html,https://vestelstoragedev.blob.core.windows.net/staticpage/MembershipAggrement_EN_DriveGreenPro.html,https://vestelstoragedev.blob.core.windows.net/staticpage/FAQ_TR_DriveGreenPro.html
title,composeEmailTextFieldTitleTitle,,,Title,Titre,Titel,Titolo,Başlık,Título
contact_us,"menuLabelContactUs, contactUsTitle",,,Contact Us,Nous contacter,Uns kontaktieren,Contattaci,Bize Ulaşın,Contáctenos
edit_payment_method,,,,Edit Payment Method,Modifier la carte,Karte bearbeiten,Modificare carta,Kartı Düzenle,Modificar la tarjeta
connector_warning,generalPopupLabelTitleConnectorWarning,,,Connector warning,Avertissement de connecteur,Verbinder-Hinweis,Avviso connettore,Soket Uyarısı,Alerta de conector
faq,"menuLabelFAQ, faqTitle",,,F.A.Q.,F.A.Q.,F.A.Q.,F.A.Q.,Sıkça Sorulan Sorular,Preguntas frecuentes
my_vehicles,"profileLabelMyVehicles, myVehiclesTitle, addVehicleTitle",,,My Vehicles,Mes véhicules,Meine Fahrzeuge,Miei veicoli,Araçlarım,Mis vehículos
pricing,"menuLabelPricing, pricingTitle",,,Pricing,Prix,Preisgestaltung,Prezzi,Ücretlendirme,Tarificación
terms_and_conditions,"menuLabelTermsAndConditions, termsAndConditionsTitle",,,Terms And Conditions,Termes et conditions,Geschäftsbedingungen,Termini e Condizioni,Üyelik Sözleşmesi,Términos y condiciones
